# 时间(微秒) 聚合吞吐量(包/微秒) 累计聚合包数
1000100 0 0
1000200 0 0
1000300 0 0
1000400 0 0
1000500 0 0
1000600 0 0
1000700 0 0
1000800 0 0
1000900 0 0
1001000 0 0
1001100 0 0
1001200 0 0
1001300 0 0
1001400 0 0
1001500 0 0
1001600 0 0
1001700 0 0
1001800 0 0
1001900 0 0
1002000 0 0
1002100 0 0
1002200 0 0
1002300 0 0
1002400 0 0
1002500 0 0
1002600 0 0
1002700 0 0
1002800 0 0
1002900 0 0
1003000 0 0
1003100 0 0
1003200 0 0
1003300 0 0
1003400 0 0
1003500 0 0
1003600 0 0
1003700 0 0
1003800 0 0
1003900 0 0
1004000 0 0
1004100 0 0
1004200 0 0
1004300 0 0
1004400 0 0
1004500 0 0
1004600 0 0
1004700 0 0
1004800 0 0
1004900 0 0
1005000 0 0
1005100 0 0
1005200 0 0
1005300 0 0
1005400 0 0
1005500 0 0
1005600 0 0
1005700 0 0
1005800 0 0
1005900 0 0
1006000 0 0
1006100 0 0
1006200 0 0
1006300 0 0
1006400 0 0
1006500 0 0
1006600 0 0
1006700 0 0
1006800 0 0
1006900 0 0
1007000 0 0
1007100 0 0
1007200 0 0
1007300 0 0
1007400 0 0
1007500 0 0
1007600 0 0
1007700 0 0
1007800 0 0
1007900 0 0
1008000 0 0
1008100 0 0
1008200 0 0
1008300 0 0
1008400 0 0
1008500 0 0
1008600 0 0
1008700 0 0
1008800 0 0
1008900 0 0
1009000 0 0
1009100 0 0
1009200 0 0
1009300 0 0
1009400 0 0
1009500 0 0
1009600 0 0
1009700 0 0
1009800 0 0
1009900 0 0
1010000 0 0
1010100 0 0
1010200 0 0
1010300 0 0
1010400 0 0
1010500 0 0
1010600 0 0
1010700 0 0
1010800 0 0
1010900 0 0
1011000 0 0
1011100 0 0
1011200 0 0
1011300 0 0
1011400 0 0
1011500 0 0
1011600 0 0
1011700 0 0
1011800 0 0
1011900 0 0
1012000 0 0
1012100 0 0
1012200 0 0
1012300 0 0
1012400 0 0
1012500 0 0
1012600 0 0
1012700 0 0
1012800 0 0
1012900 0 0
1013000 0 0
1013100 0 0
1013200 0 0
1013300 0 0
1013400 0 0
1013500 0 0
1013600 0 0
1013700 0 0
1013800 0 0
1013900 0 0
1014000 0 0
1014100 0 0
1014200 0 0
1014300 0 0
1014400 0 0
1014500 0 0
1014600 0 0
1014700 0 0
1014800 0 0
1014900 0 0
1015000 0 0
1015100 0 0
1015200 0 0
1015300 0 0
1015400 0 0
1015500 0 0
1015600 0 0
1015700 0 0
1015800 0 0
1015900 0 0
1016000 0 0
1016100 0 0
1016200 0 0
1016300 0 0
1016400 0 0
1016500 0 0
1016600 0 0
1016700 0 0
1016800 0 0
1016900 0 0
1017000 0 0
1017100 0 0
1017200 0 0
1017300 0 0
1017400 0 0
1017500 0 0
1017600 0 0
1017700 0 0
1017800 0 0
1017900 0 0
1018000 0 0
1018100 0 0
1018200 0 0
1018300 0 0
1018400 0 0
1018500 0 0
1018600 0 0
1018700 0 0
1018800 0 0
1018900 0 0
1019000 0 0
1019100 0 0
1019200 0 0
1019300 0 0
1019400 0 0
1019500 0 0
1019600 0 0
1019700 0 0
1019800 0 0
1019900 0 0
1020000 0 0
1020100 0 0
1020200 0 0
1020300 0 0
1020400 0 0
1020500 0 0
1020600 0 0
1020700 0 0
1020800 0 0
1020900 0 0
1021000 0 0
1021100 0 0
1021200 0 0
1021300 0 0
1021400 0 0
1021500 0 0
1021600 0 0
1021700 0 0
1021800 0 0
1021900 0 0
1022000 0 0
1022100 0 0
1022200 0 0
1022300 0 0
1022400 0 0
1022500 0 0
1022600 0 0
1022700 0 0
1022800 0 0
1022900 0 0
1023000 0 0
1023100 0 0
1023200 0 0
1023300 0 0
1023400 0 0
1023500 0 0
1023600 0 0
1023700 0 0
1023800 0 0
1023900 0 0
1024000 0 0
1024100 0 0
1024200 0 0
1024300 0 0
1024400 0 0
1024500 0 0
1024600 0 0
1024700 0 0
1024800 0 0
1024900 0 0
1025000 0 0
1025100 0 0
1025200 0 0
1025300 0 0
1025400 0 0
1025500 0 0
1025600 0 0
1025700 0 0
1025800 0 0
1025900 0 0
1026000 0 0
1026100 0 0
1026200 0 0
1026300 0 0
1026400 0 0
1026500 0 0
1026600 0 0
1026700 0 0
1026800 0 0
1026900 0 0
1027000 0 0
1027100 0 0
1027200 0 0
1027300 0 0
1027400 0 0
1027500 0 0
1027600 0 0
1027700 0 0
1027800 0 0
1027900 0 0
1028000 0 0
1028100 0 0
1028200 0 0
1028300 0 0
1028400 0 0
1028500 0 0
1028600 0 0
1028700 0 0
1028800 0 0
1028900 0 0
1029000 0 0
1029100 0 0
1029200 0 0
1029300 0 0
1029400 0 0
1029500 0 0
1029600 0 0
1029700 0 0
1029800 0 0
1029900 0 0
1030000 0 0
1030100 0 0
1030200 0 0
1030300 0 0
1030400 0 0
1030500 0 0
1030600 0 0
1030700 0 0
1030800 0 0
1030900 0 0
1031000 0 0
1031100 0 0
1031200 0 0
1031300 0 0
1031400 0 0
1031500 0 0
1031600 0 0
1031700 0 0
1031800 0 0
1031900 0 0
1032000 0 0
1032100 0 0
1032200 0 0
1032300 0 0
1032400 0 0
1032500 0 0
1032600 0 0
1032700 0 0
1032800 0 0
1032900 0 0
1033000 0 0
1033100 0 0
1033200 0 0
1033300 0 0
1033400 0 0
1033500 0 0
1033600 0 0
1033700 0 0
1033800 0 0
1033900 0 0
1034000 0 0
1034100 0 0
1034200 0 0
1034300 0 0
1034400 0 0
1034500 0 0
1034600 0 0
