# FlowID	SrcIP	DstIP	TxPackets	RxPackets	LostPackets	DelaySum(s)	JitterSum(s)	Throughput(Mbps)
1	10.1.66.2	10.1.9.2	1563	1563	0	0.0189498	4.752e-06	4243.25
2	10.1.99.2	10.1.15.2	1563	1563	0	0.0189498	4.752e-06	4922.66
3	10.1.132.2	10.1.23.2	1563	1563	0	0.0189498	4.752e-06	4922.66
4	10.1.138.2	10.1.33.2	1563	1563	0	0.0189498	4.752e-06	4243.25
5	10.1.139.2	10.1.29.2	1563	1563	0	0.0190686	9.504e-06	4910.33
6	10.1.142.2	10.1.33.2	1563	1563	0	0.0252214	5.346e-06	4203.74
7	10.1.151.2	10.1.29.2	1563	1563	0	0.019071	9.528e-06	4910.17
8	10.1.156.2	10.1.31.2	1563	1563	0	0.0189498	4.752e-06	4922.66
9	10.1.200.2	10.1.45.2	1563	1563	0	0.0190686	9.504e-06	4910.33
10	10.1.206.2	10.1.45.2	1563	1563	0	0.019071	9.528e-06	4910.17
11	10.1.225.2	10.1.53.2	1563	1563	0	0.0189498	4.752e-06	4910.33
12	10.1.229.2	10.1.57.2	1563	1563	0	0.0189498	4.752e-06	4243.25
13	10.1.237.2	10.1.61.2	1563	1563	0	0.0189498	4.752e-06	4910.33
14	10.1.47.2	10.1.186.2	1563	1563	0	0.018831	0	4922.66
15	10.1.29.2	10.1.143.2	1563	1563	0	0.018831	0	4910.33
16	10.1.65.2	10.1.254.2	1563	1563	0	0.018831	0	4223.34
17	10.1.186.2	10.1.47.2	1563	1563	0	0.018831	0	4922.66
18	10.1.143.2	10.1.29.2	1563	1563	0	0.018831	0	4910.33
19	10.1.254.2	10.1.65.2	1563	1563	0	0.018831	0	4223.34
