# Time(s)	Traffic(Mbps)
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0
2.01	0
2.02	0.788574
2.03	1.57715
2.04	2.36572
2.05	3.54858
2.06	5.12573
2.07	8.67432
2.08	8.67432
2.09	9.46289
2.1	9.46289
2.11	10.2515
2.12	10.2515
2.13	11.04
2.14	11.04
2.15	12.2229
2.16	12.2229
2.17	13.8
2.18	13.8
2.19	17.3486
2.2	17.3486
2.21	18.1372
2.22	18.1372
2.23	18.9258
2.24	18.9258
2.25	19.7144
2.26	19.7144
2.27	20.8972
2.28	20.8972
2.29	22.4744
2.3	22.4744
2.31	26.0229
2.32	26.0229
2.33	26.8115
2.34	26.8115
2.35	27.6001
2.36	27.6001
2.37	28.3887
2.38	28.3887
2.39	29.5715
2.4	29.5715
2.41	31.1487
2.42	31.1487
2.43	34.6973
2.44	34.6973
2.45	35.4858
2.46	35.4858
2.47	36.2744
2.48	36.2744
2.49	37.063
2.5	37.063
2.51	38.2458
2.52	38.2458
2.53	39.823
2.54	39.823
2.55	43.3716
2.56	43.3716
2.57	44.1602
2.58	44.1602
2.59	44.9487
2.6	44.9487
2.61	45.7373
2.62	45.7373
2.63	46.9202
2.64	46.9202
2.65	48.4973
2.66	48.4973
2.67	52.0459
2.68	52.0459
2.69	52.8345
2.7	52.8345
2.71	53.623
2.72	53.623
2.73	54.4116
2.74	54.4116
2.75	55.5945
2.76	55.5945
2.77	57.1716
2.78	57.1716
2.79	60.7202
2.8	60.7202
2.81	61.5088
2.82	61.5088
2.83	62.2974
2.84	62.2974
2.85	63.0859
2.86	63.0859
2.87	64.2688
2.88	64.2688
2.89	65.8459
2.9	65.8459
2.91	69.3945
2.92	69.3945
2.93	70.1831
2.94	70.1831
2.95	70.9717
2.96	70.9717
2.97	71.7603
2.98	71.7603
2.99	72.9431
3	72.9431
3.01	74.5203
3.02	74.5203
3.03	78.0688
3.04	78.0688
3.05	78.8574
3.06	78.8574
3.07	79.646
3.08	79.646
3.09	80.4346
3.1	80.4346
3.11	82.406
3.12	82.406
3.13	85.5603
3.14	85.5603
3.15	89.1089
3.16	89.1089
3.17	89.8975
3.18	89.8975
3.19	91.8619
3.2	91.8619
3.21	95.0023
3.22	95.0023
3.23	96.9668
3.24	96.9668
3.25	97.7554
3.26	97.7554
3.27	101.255
3.28	101.255
3.29	104.312
3.3	104.312
3.31	106.235
3.32	106.235
3.33	107.023
3.34	107.023
3.35	108.877
3.36	108.877
3.37	111.794
3.38	111.794
3.39	115.225
3.4	115.225
3.41	116.013
3.42	116.013
3.43	117.769
3.44	117.769
3.45	120.492
3.46	120.492
3.47	122.248
3.48	122.248
3.49	123.036
3.5	123.036
3.51	126.258
3.52	126.258
3.53	128.758
3.54	128.758
3.55	130.402
3.56	130.402
3.57	131.191
3.58	131.191
3.59	132.717
3.6	132.717
3.61	134.981
3.62	134.981
3.63	138.084
3.64	138.084
3.65	138.873
3.66	138.873
3.67	140.273
3.68	140.273
3.69	142.287
3.7	142.287
3.71	143.688
3.72	143.688
