# Time(s)	Traffic(Mbps)
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0
2.01	0.788574
2.02	2.36572
2.03	5.12573
2.04	8.67432
2.05	9.46289
2.06	10.2515
2.07	11.04
2.08	12.2229
2.09	13.8
2.1	17.3486
2.11	18.1372
2.12	18.9258
2.13	19.7144
2.14	20.8972
2.15	22.4744
2.16	26.0229
2.17	26.8115
2.18	27.6001
2.19	28.3887
2.2	29.5715
2.21	31.1487
2.22	34.6973
2.23	35.4858
2.24	36.2744
2.25	37.063
2.26	38.2458
2.27	39.823
2.28	43.3716
2.29	44.1602
2.3	44.9487
2.31	45.7373
2.32	46.9202
2.33	48.4973
2.34	52.0459
2.35	52.8345
2.36	53.623
2.37	54.4116
2.38	55.5945
2.39	57.1716
2.4	60.7202
2.41	61.5088
2.42	62.2974
2.43	63.0859
2.44	64.2688
2.45	65.8459
2.46	69.3945
2.47	70.1831
2.48	70.9717
2.49	71.7603
2.5	72.9431
2.51	74.5203
2.52	78.0688
2.53	78.8574
2.54	79.646
2.55	80.4346
2.56	81.6174
2.57	83.1946
2.58	86.7432
2.59	87.5317
2.6	88.3203
2.61	89.1089
2.62	90.2917
2.63	91.8689
2.64	95.4175
2.65	96.2061
2.66	96.9946
2.67	97.7832
2.68	98.9661
2.69	100.543
2.7	104.092
2.71	104.88
2.72	105.669
2.73	106.458
2.74	107.64
2.75	109.218
2.76	112.766
2.77	113.555
2.78	114.343
2.79	115.132
2.8	116.315
2.81	117.892
2.82	121.44
2.83	122.229
2.84	123.018
2.85	123.806
2.86	124.989
2.87	126.566
2.88	130.115
2.89	130.903
2.9	131.692
2.91	132.48
2.92	133.663
2.93	135.24
2.94	138.789
2.95	139.578
2.96	140.366
2.97	141.155
2.98	142.338
2.99	143.915
3	147.463
3.01	148.252
3.02	149.041
3.03	149.829
3.04	151.801
3.05	154.955
3.06	158.503
3.07	159.292
3.08	161.256
3.09	164.397
3.1	166.361
3.11	167.15
3.12	170.65
3.13	173.707
3.14	175.629
3.15	176.418
3.16	178.271
3.17	181.189
3.18	184.619
3.19	185.408
3.2	187.163
3.21	189.886
3.22	191.642
3.23	192.431
3.24	195.652
3.25	198.152
3.26	199.797
3.27	200.585
3.28	202.112
3.29	204.375
3.3	207.479
3.31	208.267
3.32	209.668
3.33	211.681
3.34	213.082
3.35	213.871
3.36	216.73
3.37	218.507
3.38	219.79
3.39	220.578
3.4	221.756
3.41	223.324
3.42	226.08
3.43	226.868
3.44	227.956
3.45	229.343
3.46	230.431
3.47	231.219
3.48	233.808
3.49	235.042
3.5	236.053
3.51	236.841
3.52	237.79
3.53	238.899
3.54	241.424
3.55	242.213
3.56	243.113
3.57	244.124
3.58	245.024
3.59	245.812
3.6	248.255
3.61	249.196
3.62	250.062
3.63	250.85
3.64	251.687
3.65	252.573
3.66	254.988
3.67	255.776
3.68	256.593
3.69	257.437
3.7	258.253
3.71	259.042
3.72	261.422
3.73	262.238
3.74	263.041
3.75	263.829
3.76	264.625
3.77	265.427
3.78	267.8
