# Time(s)	Traffic(Mbps)
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0
2.01	797.272
2.02	797.272
2.03	797.272
2.04	797.272
2.05	797.272
2.06	797.272
2.07	797.272
2.08	797.272
2.09	797.272
2.1	797.272
2.11	797.272
2.12	797.272
2.13	797.272
2.14	797.272
2.15	797.272
2.16	797.272
2.17	797.272
2.18	797.272
2.19	797.272
2.2	797.272
2.21	797.272
2.22	797.272
2.23	797.272
2.24	797.272
2.25	797.272
2.26	797.272
2.27	797.272
2.28	797.272
2.29	797.272
2.3	797.272
2.31	797.272
2.32	797.272
2.33	797.272
2.34	797.272
2.35	797.272
2.36	797.272
2.37	797.272
2.38	797.272
2.39	797.272
2.4	797.272
2.41	797.272
2.42	797.272
2.43	797.272
2.44	797.272
2.45	797.272
2.46	797.272
2.47	797.272
2.48	797.272
2.49	797.272
2.5	797.272
2.51	797.272
2.52	797.272
2.53	797.272
2.54	797.272
2.55	797.272
2.56	797.272
2.57	797.272
2.58	797.272
2.59	797.272
2.6	797.272
2.61	797.272
2.62	797.272
2.63	797.272
2.64	797.272
2.65	797.272
2.66	797.272
2.67	797.272
2.68	797.272
2.69	797.272
2.7	797.272
2.71	797.272
2.72	797.272
2.73	797.272
2.74	797.272
2.75	797.272
2.76	797.272
2.77	797.272
2.78	797.272
2.79	797.272
2.8	797.272
2.81	797.272
2.82	797.272
2.83	797.272
2.84	797.272
2.85	797.272
2.86	797.272
2.87	797.272
2.88	797.272
2.89	797.272
2.9	797.272
2.91	797.272
2.92	797.272
2.93	797.272
2.94	797.272
2.95	797.272
2.96	797.272
2.97	797.272
2.98	797.272
2.99	797.272
3	797.272
3.01	797.272
3.02	797.272
3.03	797.272
3.04	797.272
3.05	797.272
3.06	797.272
3.07	797.272
3.08	797.272
3.09	797.272
3.1	797.272
3.11	797.272
3.12	797.272
3.13	797.272
3.14	797.272
3.15	797.272
3.16	797.272
3.17	797.272
3.18	797.272
3.19	797.272
3.2	797.272
3.21	797.272
3.22	797.272
3.23	797.272
3.24	797.272
3.25	797.272
3.26	797.272
3.27	797.272
3.28	797.272
3.29	797.272
3.3	797.272
3.31	797.272
3.32	797.272
3.33	797.272
3.34	797.272
3.35	797.272
3.36	797.272
3.37	797.272
3.38	797.272
3.39	797.272
3.4	797.272
3.41	797.272
3.42	797.272
3.43	797.272
3.44	797.272
3.45	797.272
3.46	797.272
3.47	797.272
3.48	797.272
3.49	797.272
3.5	797.272
3.51	797.272
3.52	797.272
3.53	797.272
3.54	797.272
3.55	797.272
3.56	797.272
3.57	797.272
3.58	797.272
3.59	797.272
3.6	797.272
3.61	797.272
3.62	797.272
3.63	797.272
3.64	797.272
3.65	797.272
3.66	797.272
3.67	797.272
3.68	797.272
3.69	797.272
3.7	797.272
3.71	797.272
3.72	797.272
3.73	797.272
3.74	797.272
3.75	797.272
3.76	797.272
3.77	797.272
3.78	797.272
3.79	797.272
3.8	797.272
3.81	797.272
3.82	797.272
3.83	797.272
3.84	797.272
3.85	797.272
3.86	797.272
