# Time(s)	Cumulative_Traffic(MB)
0.01	0
0.11	0
0.21	0
0.31	0
0.41	0
0.51	0
0.61	0
0.71	0
0.81	0
0.91	0
1.01	0
1.11	0
1.21	0
1.31	0
1.41	0
1.51	0
1.61	0
1.71	0
1.81	0
1.91	0
2.01	87.8144
2.11	99.659
2.21	99.659
2.31	99.659
2.41	99.659
2.51	99.659
2.61	99.659
2.71	99.659
2.81	99.659
2.91	99.659
3.01	99.659
3.11	99.659
3.21	99.659
3.31	99.659
3.41	99.659
3.51	99.659
3.61	99.659
3.71	99.659
3.81	99.659
3.91	99.659
4.01	99.659
4.11	99.659
4.21	99.659
4.31	99.659
4.41	99.659
4.51	99.659
4.61	99.659
4.71	99.659
4.81	99.659
4.91	99.659
5.01	99.659
5.11	99.659
5.21	99.659
5.31	99.659
5.41	99.659
5.51	99.659
5.61	99.659
5.71	99.659
5.81	99.659
5.91	99.659
6.01	99.659
6.11	99.659
6.21	99.659
6.31	99.659
6.41	99.659
6.51	99.659
6.61	99.659
6.71	99.659
6.81	99.659
6.91	99.659
7.01	99.659
7.11	99.659
7.21	99.659
7.31	99.659
7.41	99.659
7.51	99.659
7.61	99.659
7.71	99.659
7.81	99.659
7.91	99.659
8.01	99.659
8.11	99.659
8.21	99.659
8.31	99.659
8.41	99.659
8.51	99.659
8.61	99.659
8.71	99.659
8.81	99.659
8.91	99.659
9.01	99.659
9.11	99.659
9.21	99.659
9.31	99.659
9.41	99.659
9.51	99.659
9.61	99.659
9.71	99.659
9.81	99.659
9.91	99.659
10.01	99.659
10.11	99.659
10.21	99.659
10.31	99.659
10.41	99.659
10.51	99.659
10.61	99.659
10.71	99.659
10.81	99.659
10.91	99.659
11.01	99.659
11.11	99.659
11.21	99.659
11.31	99.659
11.41	99.659
11.51	99.659
11.61	99.659
11.71	99.659
11.81	99.659
11.91	99.659
12.01	99.659
12.11	99.659
12.21	99.659
12.31	99.659
12.41	99.659
12.51	99.659
12.61	99.659
12.71	99.659
12.81	99.659
12.91	99.659
13.01	99.659
13.11	99.659
13.21	99.659
