# Time(s)	Cumulative_Traffic(MB)
0.01	0
0.11	0
0.21	0
0.31	0
0.41	0
0.51	0
0.61	0
0.71	0
0.81	0
0.91	0
1.01	0
1.11	0
1.21	0
1.31	0
1.41	0
1.51	0
1.61	0
1.71	0
1.81	0
1.91	0
2.01	0.788574
2.11	1.52786
2.21	2.36572
2.31	3.25287
2.41	4.04144
2.51	5.12573
2.61	6.21002
2.71	6.94931
2.81	7.78717
2.91	8.67432
3.01	9.46289
3.11	10.6458
3.21	12.22
3.31	13.5209
3.41	14.7614
3.51	15.8892
3.61	17.0019
3.71	18.1787
3.81	19.2586
3.91	20.0547
4.01	20.8137
4.11	21.5084
4.21	22.1636
4.31	22.9898
4.41	23.8022
4.51	24.4032
4.61	24.999
4.71	25.5942
4.81	26.1879
4.91	26.9782
5.01	27.7691
5.11	28.3835
5.21	29.0056
5.31	29.6199
5.41	30.2267
5.51	31.022
5.61	31.8149
5.71	32.4081
5.81	33.0018
5.91	33.5959
6.01	34.2038
6.11	35.0281
6.21	35.8366
6.31	36.4458
6.41	37.045
6.51	37.6408
6.61	38.2345
6.71	39.0257
6.81	39.8163
6.91	40.4185
7.01	41.0456
7.11	41.6567
7.21	42.2699
7.31	43.0677
7.41	43.861
7.51	44.4556
7.61	45.049
7.71	45.6425
7.81	46.2421
7.91	47.0599
8.01	47.8711
8.11	48.4814
8.21	49.0806
8.31	49.6758
8.41	50.2696
8.51	51.0599
8.61	51.8508
8.71	52.4651
8.81	53.0873
8.91	53.7016
9.01	54.3084
9.11	55.1037
9.21	55.8966
9.31	56.4897
9.41	57.0835
9.51	57.6775
9.61	58.2855
9.71	59.1094
9.81	59.9148
9.91	60.5202
10.01	61.1162
10.11	61.7109
10.21	62.3043
10.31	63.0949
10.41	63.8916
10.51	64.5123
10.61	65.1293
10.71	65.7419
10.81	66.3458
10.91	67.139
11.01	67.9313
11.11	68.5248
11.21	69.1185
11.31	69.7132
11.41	70.3344
11.51	71.1459
11.61	71.9557
11.71	72.5561
11.81	73.1519
11.91	73.745
12.01	74.3388
