# Time(s)	Cumulative_Traffic(MB)
0.01	0
0.11	0
0.21	0
0.31	0
0.41	0
0.51	0
0.61	0
0.71	0
0.81	0
0.91	0
1.01	0
1.11	0
1.21	0
1.31	0
1.41	0
1.51	0
1.61	0
1.71	0
1.81	0
1.91	0
2.01	7366.41
2.11	993.594
2.21	0
2.31	0
2.41	0
2.51	0
2.61	0
2.71	0
2.81	0
2.91	0
3.01	0
3.11	0
3.21	0
3.31	0
3.41	0
3.51	0
3.61	0
3.71	0
3.81	0
3.91	0
4.01	0
4.11	0
4.21	0
4.31	0
4.41	0
4.51	0
4.61	0
4.71	0
4.81	0
4.91	0
5.01	0
5.11	0
5.21	0
5.31	0
5.41	0
5.51	0
5.61	0
5.71	0
5.81	0
5.91	0
6.01	0
6.11	0
6.21	0
6.31	0
6.41	0
6.51	0
6.61	0
6.71	0
6.81	0
6.91	0
7.01	0
7.11	0
7.21	0
7.31	0
7.41	0
7.51	0
7.61	0
7.71	0
7.81	0
7.91	0
8.01	0
8.11	0
8.21	0
8.31	0
8.41	0
8.51	0
8.61	0
8.71	0
8.81	0
8.91	0
9.01	0
9.11	0
9.21	0
9.31	0
9.41	0
9.51	0
9.61	0
9.71	0
9.81	0
9.91	0
10.01	0
10.11	0
10.21	0
10.31	0
10.41	0
10.51	0
10.61	0
10.71	0
10.81	0
10.91	0
11.01	0
11.11	0
11.21	0
11.31	0
11.41	0
11.51	0
11.61	0
11.71	0
11.81	0
11.91	0
12.01	0
12.11	0
12.21	0
12.31	0
12.41	0
12.51	0
12.61	0
12.71	0
12.81	0
12.91	0
13.01	0
13.11	0
13.21	0
13.31	0
13.41	0
13.51	0
13.61	0
13.71	0
13.81	0
13.91	0
14.01	0
14.11	0
14.21	0
14.31	0
14.41	0
14.51	0
14.61	0
14.71	0
14.81	0
14.91	0
15.01	0
15.11	0
15.21	0
15.31	0
15.41	0
15.51	0
15.61	0
15.71	0
15.81	0
15.91	0
16.01	0
16.11	0
16.21	0
16.31	0
16.41	0
16.51	0
16.61	0
16.71	0
16.81	0
16.91	0
