# Time(s)	Cumulative_Traffic(MB)
0.01	0
0.11	0
0.21	0
0.31	0
0.41	0
0.51	0
0.61	0
0.71	0
0.81	0
0.91	0
1.01	0
1.11	0
1.21	0
1.31	0
1.41	0
1.51	0
1.61	0
1.71	0
1.81	0
1.91	0
2.01	0.788574
2.11	2.46429
2.21	4.04144
2.31	6.21002
2.41	7.88574
2.51	9.46289
2.61	11.6315
2.71	13.3072
2.81	14.8843
2.91	17.0529
3.01	18.7286
3.11	21.1813
3.21	24.0718
3.31	26.3326
3.41	28.0303
3.51	29.9276
3.61	31.3499
3.71	32.4811
3.81	34.0693
3.91	35.356
4.01	36.4504
4.11	38.0823
4.21	39.3974
4.31	40.4901
4.41	42.0716
4.51	43.3861
4.61	44.5191
4.71	46.1154
4.81	47.4029
4.91	48.4912
5.01	50.122
5.11	51.4417
5.21	52.537
5.31	54.1182
5.41	55.4188
5.51	56.5553
5.61	58.151
5.71	59.4376
5.81	60.5321
5.91	62.164
6.01	63.4791
6.11	64.5718
6.21	66.1533
6.31	67.4677
6.41	68.5961
6.51	70.1866
6.61	71.4721
6.71	72.5755
6.81	74.2083
6.91	75.5153
7.01	76.6062
7.11	78.2025
7.21	79.5396
7.31	80.6494
7.41	82.2332
7.51	83.154
7.61	83.2004
7.71	83.2355
7.81	83.2444
7.91	83.2488
8.01	83.2818
8.11	83.3306
8.21	83.3497
8.31	83.3558
8.41	83.3598
8.51	83.4123
8.61	83.4436
8.71	83.4503
8.81	83.4549
8.91	83.5013
9.01	83.5364
9.11	83.5454
9.21	83.5497
9.31	83.5828
9.41	83.6315
9.51	83.6506
9.61	83.6567
9.71	83.6608
9.81	83.7132
9.91	83.7446
10.01	83.7512
10.11	83.7559
10.21	83.8022
10.31	83.8437
10.41	83.8576
10.51	83.8628
10.61	83.873
10.71	83.9249
10.81	83.9516
10.91	83.9576
11.01	83.9617
11.11	84.0142
11.21	84.0455
11.31	84.0522
11.41	84.0568
11.51	84.1032
11.61	84.1446
11.71	84.1586
11.81	84.1638
11.91	84.1739
12.01	84.2258
