Protocol,TailIntensity,Round,FinishTime,Throughput
atp,low,1,+2.00253s,N/A
atp,low,2,+2.00253s,N/A
atp,low,3,+2.00253s,N/A
atp,low,1,+2.00253s,N/A
atp,low,2,+0s,N/A
atp,low,1,+2.00253s,N/A
atp,low,2,+2.00253s,N/A
atp,low,3,+2.00253s,N/A
atp,low,1,+2.00253s,N/A
atp,low,2,+2.00253s,N/A
atp,low,3,+2.00253s,N/A
atp,low,1,+2.00253s,12.6075
atp,low,2,+2.00253s,12.6075
atp,low,3,+2.00253s,12.6075
atp,low,1,+2.00253s,12.6075
atp,low,2,+2.00253s,12.6075
atp,low,3,+2.00253s,12.6075
atp,low,1,+2.00253s,12.6075
atp,low,2,+2.00253s,12.6075
atp,low,3,+2.00253s,12.6075
atp,low,1,+2.00253s,12.6075
atp,low,2,+2.00253s,12.6075
atp,low,3,+2.00253s,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,0,12.5952
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
a2tp,low,1,N/A,0.0000
a2tp,low,1,N/A,0.0000
a2tp,low,1,N/A,0.0000
a2tp,low,2,N/A,0.0000
a2tp,low,1,N/A,0.0000
a2tp,low,1,N/A,0.0000
a2tp,low,2,N/A,0.0000
a2tp,low,1,N/A,0.0000
a2tp,low,1,2.00253,12.6075
a2tp,low,2,2.00253,12.6075
a2tp,low,3,2.00253,12.6075
a2tp,low,1,0,12.5952
a2tp,low,1,2.001,12.6075
a2tp,low,1,2.00253,12.6075
a2tp,low,1,0,12.5952
a2tp,low,1,2.00253,12.6075
a2tp,low,2,2.00253,12.6075
a2tp,low,3,2.00253,12.6075
a2tp,low,1,2.00002,0.0000
a2tp,low,2,2.00002,0.0000
a2tp,low,3,2.00002,0.0000
atp,low,1,2.00002,0.0000
atp,low,2,2.00002,0.0000
atp,low,3,2.00002,0.0000
atp,low,1,2.00003,0.0000
atp,low,2,2.00003,0.0000
atp,low,3,2.00003,0.0000
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.00253,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,2.001,12.6075
atp,low,1,2.00253,12.6075
atp,low,2,2.00253,12.6075
atp,low,3,N/A,0.0000
atp,low,1,2.00002,0.0000
atp,low,2,2.00002,0.0000
atp,low,3,2.00002,0.0000
atp,low,1,0,0.0000
atp,low,2,0,0.0000
atp,low,3,0,0.0000
atp,low,1,0,0.0000
atp,low,2,0,0.0000
atp,low,3,0,0.0000
atp,low,1,2.00318,10.0038
atp,low,2,2.00318,10.0038
atp,low,3,2.00318,10.0038
atp,low,1,2.00318,10.0038
atp,low,2,2.00318,10.0038
atp,low,3,2.001,10.0352
