# 时间(秒) 聚合器ID 旧应用ID->新应用ID 旧键值->新键值
2.000002024 448 0->1 0->0
2.000002024 447 0->2 0->0
2.000002048 446 0->0 0->1
2.000002048 445 0->1 0->1
2.000002048 444 0->2 0->1
2.000002072 443 0->0 0->2
2.000002072 442 0->1 0->2
2.000002072 441 0->2 0->2
2.000002096 440 0->0 0->3
2.000002096 439 0->1 0->3
2.000002096 438 0->2 0->3
2.000002120 437 0->0 0->4
2.000002120 436 0->1 0->4
2.000002120 435 0->2 0->4
2.000002144 434 0->0 0->5
2.000002144 433 0->1 0->5
2.000002144 432 0->2 0->5
2.000002168 431 0->0 0->6
2.000002168 430 0->1 0->6
2.000002168 429 0->2 0->6
2.000002192 428 0->0 0->7
2.000002192 427 0->1 0->7
2.000002192 426 0->2 0->7
2.000002216 425 0->0 0->8
2.000002216 424 0->1 0->8
2.000002216 423 0->2 0->8
2.000002240 422 0->0 0->9
2.000002240 421 0->1 0->9
2.000002240 420 0->2 0->9
2.000002264 419 0->0 0->10
2.000002264 418 0->1 0->10
2.000002264 417 0->2 0->10
2.000002288 416 0->0 0->11
2.000002288 415 0->1 0->11
2.000002288 414 0->2 0->11
2.000002312 413 0->0 0->12
2.000002312 412 0->1 0->12
2.000002312 411 0->2 0->12
2.000002336 410 0->0 0->13
2.000002336 409 0->1 0->13
2.000002336 408 0->2 0->13
2.000002360 407 0->0 0->14
2.000002360 406 0->1 0->14
2.000002360 405 0->2 0->14
2.000002384 404 0->0 0->15
2.000002384 403 0->1 0->15
2.000002384 402 0->2 0->15
2.000002408 401 0->0 0->16
2.000002408 400 0->1 0->16
2.000002408 399 0->2 0->16
2.000002432 398 0->0 0->17
2.000002432 397 0->1 0->17
2.000002432 396 0->2 0->17
2.000002456 395 0->0 0->18
2.000002456 394 0->1 0->18
2.000002456 393 0->2 0->18
2.000002480 392 0->0 0->19
2.000002480 391 0->1 0->19
2.000002480 390 0->2 0->19
2.000002504 389 0->0 0->20
2.000002504 388 0->1 0->20
2.000002504 387 0->2 0->20
2.000002528 386 0->0 0->21
2.000002528 385 0->1 0->21
2.000002528 384 0->2 0->21
2.000002552 383 0->0 0->22
2.000002552 382 0->1 0->22
2.000002552 381 0->2 0->22
2.000002576 380 0->0 0->23
