# 时间(秒) 聚合器ID 旧应用ID->新应用ID 旧键值->新键值
2.000003176 400 0->1 0->48
2.000004184 400 0->0 0->90
2.000004352 350 0->1 0->97
2.000005192 400 0->1 0->132
2.000005360 350 0->0 0->69
2.000006200 400 0->0 0->174
2.000006368 350 0->1 0->181
2.000007208 400 0->1 0->216
2.000007376 350 0->0 0->111
2.000012344 350 0->1 0->301
2.000012664 400 0->2 0->356
2.000012680 400 0->0 0->315
2.000013352 350 0->0 0->339
2.000014360 350 0->1 0->367
2.000015368 350 0->0 0->395
2.000016376 350 0->1 0->423
2.000017384 350 0->0 0->451
2.000018392 350 0->1 0->479
2.000019416 350 0->2 0->550
2.000021120 350 0->2 0->621
2.000021144 350 0->2 0->622
2.000021152 350 0->0 0->520
2.000022160 350 0->1 0->419
2.000023168 350 0->0 0->569
2.000024176 350 0->1 0->461
2.000025040 350 0->0 0->615
2.000026048 350 0->1 0->639
2.000027056 350 0->0 0->663
2.000028064 350 0->1 0->687
2.000029072 350 0->0 0->711
2.000030080 350 0->1 0->735
2.000031088 350 0->2 0->949
2.000031136 350 0->2 0->951
2.000031808 350 0->2 0->979
2.000031832 350 0->2 0->980
2.000031856 350 0->2 0->981
2.000031880 350 0->2 0->982
2.000031888 350 0->0 0->537
2.000032944 350 0->1 0->550
2.000033952 350 0->0 0->564
2.000034904 400 0->1 0->848
2.000034960 350 0->1 0->578
2.000035912 400 0->0 0->890
2.000035968 350 0->2 0->1065
2.000035992 350 0->2 0->1066
2.000036016 350 0->2 0->1067
2.000036040 350 0->2 0->1068
2.000036064 350 0->0 0->592
2.000037072 350 0->1 0->604
2.000038080 350 0->0 0->616
2.000039088 350 0->1 0->628
2.000040096 350 0->2 0->1237
2.000040120 350 0->2 0->1238
2.000041104 350 0->0 0->1016
2.000042112 350 0->1 0->664
2.000043128 350 0->2 0->1276
2.000043136 350 0->0 0->1061
2.000044144 350 0->1 0->1093
2.000045152 350 0->0 0->1125
2.000046160 350 0->1 0->1158
2.000047168 350 0->0 0->1189
2.000048200 350 0->1 0->1217
2.000049256 350 0->0 0->1247
2.000050416 350 0->1 0->1270
2.000051440 350 0->2 0->1535
2.000051464 350 0->2 0->1536
2.000051472 350 0->0 0->761
2.000052504 350 0->1 0->1320
2.000053512 350 0->0 0->1350
2.000054568 350 0->1 0->1382
2.000055576 350 0->0 0->1413
2.000056584 350 0->1 0->1443
2.000057592 350 0->0 0->1472
2.000058616 350 0->1 0->1500
2.000059632 350 0->0 0->1522
2.000060640 350 0->1 0->908
2.000061648 350 0->0 0->929
2.000062656 350 0->1 0->948
2.000063664 350 0->2 0->1957
2.000063688 350 0->0 0->1632
2.000064696 350 0->1 0->1662
2.000065752 350 0->0 0->1690
2.000066904 350 0->1 0->1718
2.000067920 350 0->2 0->2047
2.000067936 350 0->0 0->1743
2.000070672 350 0->1 0->1055
2.000071680 350 0->0 0->1070
2.000072688 350 0->1 0->1085
2.000073696 350 0->0 0->1880
2.000074704 350 0->1 0->1117
2.000075712 350 0->0 0->1936
2.000076720 350 0->1 0->1150
2.000077744 350 0->2 0->2369
2.000077752 350 0->0 0->1992
2.000078808 350 0->1 0->2020
2.000079816 350 0->0 0->2046
2.000080824 350 0->1 0->2072
2.000081832 350 0->0 0->2098
2.000082840 350 0->1 0->2125
2.000083848 350 0->0 0->2152
2.000084880 350 0->1 0->1263
2.000085888 350 0->0 0->2206
2.000086896 350 0->1 0->1289
2.000087904 350 0->0 0->2258
2.000088912 350 0->1 0->1318
2.000089920 350 0->0 0->1333
2.000090976 350 0->1 0->2341
2.000091984 350 0->0 0->1364
2.000092992 350 0->1 0->2397
2.000094000 350 0->0 0->1395
2.000095080 350 0->1 0->2457
2.000096088 350 0->0 0->2484
2.000097096 350 0->1 0->2510
2.000098104 350 0->0 0->2536
2.000099232 350 0->1 0->2567
2.000100256 350 0->2 0->3045
2.000100264 350 0->0 0->2594
2.000101272 350 0->1 0->2621
2.000102280 350 0->0 0->2649
2.000103408 350 0->1 0->2680
2.000104416 350 0->0 0->1554
2.000105448 350 0->1 0->2734
2.000106456 350 0->0 0->2761
2.000107464 350 0->1 0->2788
2.000108472 350 0->2 0->3300
2.000108544 350 0->2 0->3303
2.000108568 350 0->2 0->3304
2.000108592 350 0->2 0->3305
2.000108616 350 0->2 0->3306
2.000108664 350 0->2 0->3308
2.000108712 350 0->2 0->3310
2.000108736 350 0->2 0->3311
2.000108760 350 0->0 0->2823
2.000109768 350 0->1 0->2850
2.000110776 350 0->2 0->3396
2.000110800 350 0->2 0->3397
2.000110824 350 0->2 0->3398
2.000110848 350 0->2 0->3399
2.000110872 350 0->0 0->2878
2.000111904 350 0->1 0->1668
2.000112912 350 0->0 0->2932
2.000113920 350 0->1 0->2959
2.000114928 350 0->0 0->2986
2.000115936 350 0->1 0->1718
2.000116944 350 0->0 0->1730
2.000118264 350 0->1 0->3074
2.000119272 350 0->0 0->3101
2.000120280 350 0->1 0->3127
2.000121296 350 0->2 0->3747
2.000121360 350 0->0 0->3156
2.000122392 350 0->1 0->3185
2.000123400 350 0->0 0->3214
2.000124408 350 0->1 0->3243
2.000125432 350 0->2 0->3832
2.000125440 350 0->0 0->1825
2.000126496 350 0->1 0->3301
2.000127504 350 0->0 0->1852
2.000128512 350 0->1 0->3355
2.000129520 350 0->0 0->1880
2.000130552 350 0->1 0->3408
2.000131560 350 0->2 0->4000
2.000131560 350 0->0 0->3437
2.000132568 350 0->1 0->3466
2.000133576 350 0->2 0->4084
2.000133600 350 0->0 0->3495
2.000134608 350 0->1 0->1950
2.000135616 350 0->2 0->4169
2.000135640 350 0->2 0->4170
2.000135664 350 0->0 0->3552
2.000136720 350 0->1 0->1980
2.000137968 350 0->0 0->3614
2.000138976 350 0->1 0->2010
2.000139984 350 0->0 0->3666
2.000140992 350 0->1 0->2036
2.000142000 350 0->0 0->2049
2.000143680 350 0->1 0->3771
2.000144696 350 0->2 0->4460
2.000144712 350 0->0 0->3798
2.000145720 350 0->1 0->3826
2.000146752 350 0->0 0->3855
2.000147760 350 0->1 0->3881
2.000148768 350 0->0 0->2138
2.000149824 350 0->1 0->3936
2.000150832 350 0->0 0->3965
2.000151840 350 0->1 0->3994
2.000152848 350 0->0 0->4022
2.000153856 350 0->1 0->2205
2.000155488 350 0->0 0->4095
2.000156496 350 0->1 0->2240
2.000157528 350 0->2 0->4820
2.000157552 350 0->0 0->4149
2.000158560 350 0->1 0->2266
2.000159568 350 0->0 0->4204
2.000160576 350 0->1 0->2294
2.000161584 350 0->2 0->4989
2.000161608 350 0->2 0->4990
2.000161632 350 0->0 0->4263
2.000162640 350 0->1 0->4290
2.000163648 350 0->0 0->2335
2.000164656 350 0->1 0->4346
2.000165664 350 0->0 0->2363
2.000166720 350 0->1 0->2377
2.000167736 350 0->2 0->5158
2.000167752 350 0->0 0->4428
2.000168760 350 0->1 0->4456
2.000169768 350 0->0 0->4484
2.000171280 350 0->1 0->4527
2.000172288 350 0->0 0->2457
2.000173296 350 0->1 0->4582
2.000174320 350 0->2 0->5345
2.000174344 350 0->2 0->5346
2.000174352 350 0->0 0->2485
2.000175360 350 0->1 0->2499
2.000176368 350 0->0 0->4664
2.000177376 350 0->1 0->2526
2.000178456 350 0->0 0->4720
2.000179464 350 0->1 0->4749
2.000180472 350 0->2 0->5514
2.000180496 350 0->0 0->2568
2.000181576 350 0->1 0->4807
2.000182584 350 0->0 0->4835
2.000183592 350 0->1 0->4863
2.000184600 350 0->0 0->4890
2.000185608 350 0->1 0->4917
2.000186640 350 0->0 0->4944
2.000187648 350 0->1 0->2665
2.000188664 350 0->2 0->5768
2.000188688 350 0->2 0->5769
2.000188712 350 0->2 0->5770
2.000188736 350 0->2 0->5771
2.000188752 350 0->0 0->5003
2.000189760 350 0->1 0->2693
2.000190768 350 0->0 0->5059
2.000191776 350 0->1 0->5087
2.000192784 350 0->0 0->5116
2.000193792 350 0->1 0->2747
2.000194848 350 0->0 0->5171
2.000195856 350 0->1 0->5197
2.000196864 350 0->0 0->2788
2.000197872 350 0->1 0->5253
2.000198896 350 0->2 0->6107
2.000198920 350 0->2 0->6108
2.000198944 350 0->2 0->6109
2.000198968 350 0->2 0->6110
2.000199064 350 0->2 0->6114
2.000199160 350 0->2 0->6118
2.000199184 350 0->2 0->6119
2.000199192 350 0->0 0->5290
2.000200248 350 0->1 0->5319
2.000201256 350 0->0 0->5347
2.000202264 350 0->1 0->5375
2.000204592 350 0->2 0->6257
2.000204616 350 0->2 0->6258
2.000204640 350 0->2 0->6259
2.000204664 350 0->2 0->6260
2.000205432 350 0->2 0->6292
2.000205504 350 0->0 0->5462
2.000206512 350 0->1 0->2915
2.000207520 350 0->2 0->6379
2.000207544 350 0->2 0->6380
2.000207568 350 0->2 0->6381
2.000207592 350 0->0 0->5520
2.000208600 350 0->1 0->5548
2.000209608 350 0->0 0->5576
2.000210616 350 0->1 0->5604
2.000211648 350 0->0 0->5632
2.000212656 350 0->1 0->5660
2.000213664 350 0->0 0->3011
2.000214720 350 0->1 0->5714
2.000215728 350 0->0 0->3038
2.000216736 350 0->1 0->3051
2.000217752 350 0->2 0->6718
2.000217776 350 0->2 0->6719
2.000217800 350 0->2 0->6720
2.000217816 350 0->0 0->5801
2.000218824 350 0->1 0->5829
2.000219952 350 0->0 0->5861
2.000220960 350 0->1 0->3108
2.000221968 350 0->0 0->5914
2.000222976 350 0->1 0->5941
2.000223984 350 0->0 0->3147
2.000225040 350 0->1 0->5998
2.000226048 350 0->0 0->6026
2.000227056 350 0->1 0->3190
2.000228064 350 0->0 0->6083
2.000229072 350 0->1 0->3219
2.000230080 350 0->0 0->3233
2.000231088 350 0->1 0->6165
2.000232096 350 0->0 0->3262
2.000233128 350 0->1 0->6219
2.000234136 350 0->0 0->6247
2.000235168 350 0->1 0->6275
2.000236176 350 0->0 0->3320
2.000237184 350 0->1 0->6331
2.000238192 350 0->0 0->3350
2.000239272 350 0->1 0->6388
2.000240288 350 0->2 0->7395
2.000240304 350 0->0 0->6416
2.000241312 350 0->1 0->3396
2.000242320 350 0->0 0->6471
2.000243328 350 0->1 0->3427
2.000244336 350 0->0 0->3442
2.000245392 350 0->1 0->6555
2.000246400 350 0->0 0->3473
2.000247408 350 0->1 0->3488
2.000248432 350 0->2 0->7647
2.000248440 350 0->0 0->6638
2.000249448 350 0->1 0->6665
2.000250456 350 0->0 0->6692
2.000251464 350 0->1 0->6719
2.000252472 350 0->0 0->6746
2.000253480 350 0->1 0->6773
2.000254488 350 0->0 0->6800
2.000255496 350 0->1 0->6827
2.000256504 350 0->2 0->7896
2.000256528 350 0->2 0->7897
2.000256552 350 0->2 0->7898
2.000256576 350 0->2 0->7899
2.000256600 350 0->2 0->7900
2.000256624 350 0->2 0->7901
2.000256672 350 0->2 0->7903
2.000256696 350 0->2 0->7904
2.000256768 350 0->2 0->7907
2.000256792 350 0->2 0->7908
2.000256816 350 0->2 0->7909
2.000256840 350 0->2 0->7910
2.000256912 350 0->2 0->7913
2.000256936 350 0->2 0->7914
2.000256960 350 0->0 0->6867
2.000257968 350 0->1 0->3635
2.000258976 350 0->0 0->6921
2.000259984 350 0->1 0->3663
2.000260992 350 0->0 0->3677
2.000262048 350 0->1 0->7005
2.000263056 350 0->0 0->3706
2.000264064 350 0->1 0->7061
2.000265072 350 0->0 0->7089
2.000266080 350 0->1 0->3749
2.000267088 350 0->0 0->7144
2.000268096 350 0->1 0->7171
2.000269192 350 0->2 0->8250
2.000269216 350 0->2 0->8251
2.000269240 350 0->2 0->8252
2.000269264 350 0->2 0->8253
2.000269288 350 0->2 0->8254
2.000269312 350 0->2 0->8255
2.000269320 350 0->0 0->7205
2.000270352 350 0->1 0->3807
2.000271360 350 0->0 0->7260
2.000272416 350 0->1 0->7289
2.000273424 350 0->0 0->3850
2.000274432 350 0->1 0->3864
2.000275440 350 0->0 0->3878
2.000276448 350 0->1 0->3892
2.000277456 350 0->0 0->7428
2.000278464 350 0->1 0->7455
2.000279472 350 0->0 0->3935
2.000280480 350 0->1 0->7510
2.000281488 350 0->0 0->3964
2.000282496 350 0->1 0->7566
2.000283504 350 0->0 0->3993
2.000284512 350 0->1 0->7622
2.000285520 350 0->0 0->4021
2.000286672 350 0->1 0->7681
2.000287680 350 0->0 0->4052
2.000288688 350 0->1 0->4066
2.000289704 350 0->2 0->8930
2.000289744 350 0->0 0->7764
2.000290752 350 0->1 0->7792
2.000291760 350 0->0 0->4109
2.000292768 350 0->1 0->4123
2.000293776 350 0->0 0->7875
2.000294784 350 0->1 0->7902
2.000295792 350 0->0 0->7930
2.000296800 350 0->1 0->4179
2.000297808 350 0->0 0->4193
2.000298816 350 0->1 0->8013
2.000299848 350 0->0 0->8041
2.000302728 350 0->1 0->8121
2.000303736 350 0->0 0->8148
2.000305128 350 0->1 0->8186
2.000306136 350 0->0 0->8213
2.000307144 350 0->1 0->8241
2.000308152 350 0->0 0->8269
2.000309160 350 0->1 0->8297
2.000310168 350 0->0 0->8324
2.000311176 350 0->1 0->8352
2.000312184 350 0->0 0->8379
2.000313192 350 0->1 0->8407
2.000314208 350 0->2 0->9689
2.000314224 350 0->0 0->8435
2.000315232 350 0->1 0->4439
2.000316264 350 0->0 0->8491
2.000317272 350 0->1 0->8519
2.000318280 350 0->0 0->8547
2.000319288 350 0->1 0->8574
2.000320312 350 0->2 0->9856
2.000320336 350 0->2 0->9857
2.000320384 350 0->2 0->9859
2.000320408 350 0->2 0->9860
2.000320416 350 0->0 0->8606
2.000321424 350 0->1 0->4526
2.000322432 350 0->0 0->4540
2.000323440 350 0->1 0->8688
2.000324448 350 0->0 0->4568
2.000325456 350 0->1 0->8743
2.000326464 350 0->0 0->4596
2.000327712 350 0->1 0->8805
2.000328720 350 0->0 0->4627
2.000329848 350 0->1 0->8864
2.000330856 350 0->0 0->8891
2.000331864 350 0->1 0->8919
2.000332872 350 0->0 0->8947
2.000333880 350 0->1 0->8974
2.000334896 350 0->2 0->10289
2.000334920 350 0->2 0->10290
2.000334936 350 0->0 0->9003
2.000335944 350 0->1 0->9031
2.000336960 350 0->2 0->10375
2.000336984 350 0->2 0->10376
2.000337008 350 0->2 0->10377
2.000337032 350 0->2 0->10378
2.000337048 350 0->0 0->9061
2.000338056 350 0->1 0->9089
2.000339072 350 0->2 0->10463
2.000339096 350 0->2 0->10464
2.000339112 350 0->0 0->9118
2.000340120 350 0->1 0->9145
2.000341128 350 0->0 0->9173
2.000342232 350 0->1 0->9204
2.000343240 350 0->0 0->9231
2.000344320 350 0->1 0->9260
2.000345328 350 0->0 0->9288
2.000346336 350 0->1 0->4870
2.000347360 350 0->2 0->10721
2.000347368 350 0->0 0->9344
2.000348376 350 0->1 0->9372
2.000349384 350 0->0 0->9399
2.000350392 350 0->1 0->9427
2.000351400 350 0->2 0->10802
2.000351424 350 0->2 0->10803
2.000351448 350 0->0 0->9456
2.000352480 350 0->1 0->9484
2.000353488 350 0->0 0->4969
2.000354544 350 0->1 0->9541
2.000355552 350 0->0 0->9569
2.000356776 350 0->1 0->9602
2.000357904 350 0->0 0->9633
2.000358912 350 0->1 0->5045
2.000359920 350 0->0 0->9688
2.000360928 350 0->1 0->5073
2.000361936 350 0->0 0->5087
2.000363040 350 0->1 0->5103
2.000364056 350 0->2 0->11242
2.000364072 350 0->0 0->9802
2.000365080 350 0->1 0->9830
2.000366088 350 0->0 0->9857
2.000367096 350 0->1 0->9884
2.000368120 350 0->2 0->11324
2.000368144 350 0->2 0->11325
2.000368192 350 0->2 0->11327
2.000368216 350 0->2 0->11328
2.000368240 350 0->2 0->11329
2.000368248 350 0->0 0->9916
2.000369304 350 0->1 0->9946
2.000370328 350 0->2 0->11416
2.000370336 350 0->0 0->9974
2.000371344 350 0->1 0->5218
2.000372352 350 0->0 0->10029
2.000373360 350 0->1 0->5246
2.000374464 350 0->2 0->11501
2.000374512 350 0->2 0->11503
2.000374536 350 0->2 0->11504
2.000374560 350 0->2 0->11505
2.000374656 350 0->2 0->11509
2.000374680 350 0->2 0->11510
2.000374752 350 0->0 0->10096
2.000375760 350 0->1 0->5280
2.000376768 350 0->0 0->5294
2.000377776 350 0->1 0->5308
2.000378784 350 0->0 0->10206
2.000379792 350 0->1 0->5336
2.000380824 350 0->0 0->10261
2.000381832 350 0->1 0->10289
2.000382840 350 0->0 0->10316
2.000383848 350 0->1 0->10345
2.000384856 350 0->0 0->10372
2.000385888 350 0->1 0->10400
2.000386904 350 0->2 0->11932
2.000386928 350 0->2 0->11933
2.000386944 350 0->0 0->10429
2.000387952 350 0->1 0->5450
2.000388960 350 0->0 0->10484
2.000389968 350 0->1 0->5479
2.000390992 350 0->2 0->12015
2.000391000 350 0->0 0->10540
2.000392008 350 0->1 0->10568
2.000393032 350 0->2 0->12100
2.000393104 350 0->2 0->12103
2.000393128 350 0->2 0->12104
2.000393152 350 0->2 0->12105
2.000393176 350 0->2 0->12106
2.000393200 350 0->2 0->12107
2.000393208 350 0->0 0->10601
2.000394216 350 0->1 0->10629
2.000395240 350 0->2 0->12192
2.000395248 350 0->0 0->10656
2.000396256 350 0->1 0->5567
2.000397384 350 0->0 0->10715
2.000398416 350 0->1 0->10743
2.000399424 350 0->0 0->10771
2.000400432 350 0->1 0->10799
2.000401440 350 0->0 0->10827
2.000402472 350 0->1 0->10854
2.000403480 350 0->0 0->10882
2.000404488 350 0->1 0->10910
2.000405496 350 0->0 0->10937
2.000406504 350 0->1 0->10965
2.000407520 350 0->2 0->12529
2.000407544 350 0->2 0->12530
2.000407568 350 0->2 0->12531
2.000407584 350 0->0 0->5727
2.000408592 350 0->1 0->5741
2.000409600 350 0->0 0->5755
2.000410608 350 0->1 0->11078
2.000411616 350 0->0 0->5783
2.000412672 350 0->1 0->11134
2.000413680 350 0->0 0->5812
2.000414688 350 0->1 0->11189
2.000415696 350 0->0 0->5840
2.000416848 350 0->1 0->5857
2.000417856 350 0->0 0->5871
2.000418864 350 0->1 0->11304
2.000419872 350 0->0 0->5899
2.000420880 350 0->1 0->11359
2.000421888 350 0->0 0->5927
2.000422896 350 0->1 0->11414
2.000423904 350 0->0 0->11442
2.000424936 350 0->1 0->11470
2.000425944 350 0->0 0->11498
2.000427408 350 0->1 0->11538
2.000428416 350 0->0 0->6019
2.000429424 350 0->1 0->11594
2.000430432 350 0->0 0->11621
2.000431440 350 0->1 0->11648
2.000432448 350 0->0 0->6076
2.000433456 350 0->1 0->11703
2.000434464 350 0->0 0->6104
2.000435472 350 0->1 0->6119
2.000436488 350 0->2 0->13474
2.000436504 350 0->0 0->11787
2.000437512 350 0->1 0->11815
2.000438520 350 0->0 0->11843
2.000439528 350 0->1 0->11870
2.000440536 350 0->0 0->11898
2.000441544 350 0->1 0->11925
2.000442568 350 0->2 0->13640
2.000442576 350 0->0 0->11953
2.000443584 350 0->1 0->6232
2.000444592 350 0->0 0->6246
